DATE,XSLV,IVV,IJH,VXUS,VTI,SCHD,VIG,DNL,ARKK,FIDU,XLF,TECL,USMV,SUSA,BOND,TOTL,BKLN,LDUR,BNDX
20150629,33.25,206.73,149.65,50.31,106.73,38.32,78.57,50.79,21.16,28.12,19.72,34.37,40.28,85.00,107.41,49.49,23.74,101.67,52.20
20150630,33.2901,207.22,149.98,50.33,107.02,38.29,78.58,50.90,21.35,28.15,19.80,34.47,40.32,85.11,107.00,49.52,23.79,101.53,52.37
20150701,33.71,208.84,150.44,50.58,107.72,38.55,79.35,51.15,21.31,28.19,20.10,35.17,40.80,85.55,106.39,49.30,23.82,101.56,52.22
20150702,33.57,208.59,150.21,50.70,107.58,38.54,79.29,51.24,21.25,28.20,20.01,35.20,40.83,85.60,106.47,49.34,23.83,101.65,52.05
20150703,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20150706,33.72,208.04,149.75,49.63,107.30,38.40,79.09,50.19,21.10,28.03,19.93,34.84,40.86,85.18,106.87,49.41,23.85,101.78,52.13
20150707,33.8,209.32,150.45,49.48,107.89,38.78,79.83,49.80,20.98,28.19,19.97,34.97,41.25,85.77,107.01,49.51,23.91,101.78,52.45
20150708,33.525,205.79,148.34,48.17,106.09,38.28,78.73,48.67,20.78,27.70,19.62,33.27,40.81,84.56,107.24,49.56,23.87,101.86,52.41
20150709,33.57,206.16,148.44,48.92,106.31,38.28,78.90,49.35,20.95,27.82,19.77,32.88,40.81,84.61,106.73,49.40,23.84,101.69,52.39
20150710,33.96,208.79,149.98,50.27,107.60,38.67,79.75,50.61,21.17,28.06,20.01,34.43,41.24,85.40,106.49,49.25,23.90,101.65,52.30
20150713,34.0757,211.09,151.33,50.49,108.82,39.09,80.58,50.75,21.44,28.34,20.25,36.00,41.53,86.20,106.76,49.26,23.94,101.74,52.28
20150714,34.1418,211.97,151.94,50.83,109.31,39.19,80.77,50.78,21.57,28.43,20.30,36.41,41.62,86.57,106.93,49.39,23.95,101.80,52.27
20150715,34.08,211.89,151.08,50.53,109.17,39.07,80.62,50.56,21.42,28.27,20.47,36.43,41.59,86.32,107.01,49.42,23.85,101.87,52.49
20150716,34.3925,213.55,151.64,50.91,109.93,39.32,81.08,51.03,21.85,28.41,20.67,37.81,41.86,87.00,107.36,49.50,23.89,101.83,52.51
20150717,34.21,213.78,150.42,50.81,109.96,39.14,80.76,51.05,21.92,28.41,20.62,39.49,41.77,86.75,107.48,49.48,23.92,101.84,52.55
